restaurant_name,city,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,rating,tags
Lide Noodle House,Guangzhou,42.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,21:30,Lizhiwan Creek,4.4,Outdoor seating; Online queueing; Private rooms available
Dasao Huozi - Dried Abalone Braised Chicken Pot (Fengyuan Road Branch),Guangzhou,63.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,02:00,Guangzhou Railway Museum,4.4,Must-Eat List Top 10; Birthday set meal service
Lilin Eatery,Guangzhou,33.0,Catering Services; Chinese Restaurant; Chinese Restaurant,07:30,16:00,Chen Clan Ancestral Hall,4.4,Online queueing; Waiting area available
Jiangnanjia Chinese Restaurant,Guangzhou,15.0,Catering Services;Chinese Restaurant,10:00,22:00,Renwei Ancestral Temple,4.6,Outdoor seating;Private rooms available;Birthday set meal service;Must-Eat List Top 10
Langli Restaurant (Tairan Lou Branch),Guangzhou,57.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:30,21:30,Zhujiang Park,4.2,Private Rooms Available; Birthday Set Meal Service
Xi Chuan Music Restaurant & Bar,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,19:30,03:00,Shangxiajiu Pedestrian Street,3.5,Online queueing; Waiting area available; Must-Eat List Top 10; Private rooms available
Shengke Tea Restaurant (Wufu Commercial Building Branch),Guangzhou,97.0,Catering Services;Chinese Restaurant,06:00,23:30,Guangzhou Modern History Museum,4.3,Birthday set meal service;Waiting area available;Online queueing;Private rooms available
Tao Tao Ju Restaurant (Jiefang North Road Branch),Guangzhou,106.0,Catering Services;Chinese Restaurant,17:00,21:00,Sun Yat-sen Memorial Hall,4.5,Waiting Area Available;Private rooms available;Online queueing;Waiting area available;Must-Eat List Top 10
Chaoyuexuan Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,06:00,01:30,Crazy Maiji (Guangzhou Experience Hall),3.9,Must-Eat List Top 10; Online queueing; Outdoor seating; Private rooms available; Birthday set meal service
Yujingmei Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,23:00,Sun Yat-sen University (South Campus),3.9,Must-Eat List Top 10; Birthday set meal service; Outdoor seating; Waiting area available
Zhenshihui Smart Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Guangzhou City Double-Decker Sightseeing Bus (Yuetao Bus),3.9,Birthday set meal service; Outdoor seating; Online queueing
Xinshunfa Restaurant (Shiqiao Branch),Guangzhou,142.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,04:00,Baihua Garden (Santang Road Branch),4.4,Waiting Area Available
"Sunset Ultimate Micro Restaurant - Coffee by Day, Alcohol by Night",Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,"Sacred Heart Cathedral, Guangzhou",2.9,Online queueing; Must-Eat List Top 10; Private rooms available; Waiting area available
Happy Little Sheep Hotpot Restaurant (Liuhua Branch),Guangzhou,121.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:00,Museum of the Nanyue Kings (Royal Tomb Exhibition Area),4.6,Online queueing; Outdoor seating
Four Seasons Restaurant (South Station South Plaza Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,21:00,Guifeng Village,4.1,Outdoor seating
Mutongji Smelt Fish & Anhui Cuisine (Baima Old Store),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:00,Guifeng Village,4.7,Waiting area available; Online queueing
Deli & Leisure Youle Restaurant Banquet Hall (Teemall Branch),Guangzhou,98.0,Catering Services;Chinese Restaurant,11:00,21:30,Metaverse Experience Hall (Guangzhou Branch),4.4,Must-Eat List Top 10;Waiting Area Available;Private Rooms Available;Birthday Set Meal Service
Putien Restaurant (Taikoo Hui Tianhe Branch),Guangzhou,119.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:30,Grandview Penguin Ice and Snow World,4.6,Outdoor seating; Private rooms available
Rooftop Restaurant (Second Normal University Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,14:00,23:00,Kecun,4.0,Must-Eat List Top 10; Waiting area available; Online queueing; Outdoor seating
Shengguang Group Restaurant (Poly World Trade Center Tower G Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,08:00,14:00,Youma Space (Pazhou Branch),4.1,Online queueing; Private rooms available
Junmanfu Restaurant (Yongshengyuan Branch),Guangzhou,143.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:30,Anhua Hui Happy Boat Theme Park,3.9,Birthday set meal service; Online queueing; Outdoor seating; Must-Eat List Top 10
Haixinsha No. 2 Restaurant & Banquet Hall,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Guangdong Museum,3.6,Must-Eat List Top 10; Waiting area available; Private rooms available; Outdoor seating
Zhujiang Mingdian - Authentic Chaoshan Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Sun Yat-sen University (South Campus),4.1,Private Rooms Available; Must-Eat List Top 10; Waiting Area Available
Fumanlai Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Liuxi River,3.9,Must-Eat List Top 10
Jiuhe Lan,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,21:30,Pazhou Pagoda,4.5,Online queueing; Private rooms available
Fanzhanggui Self-Service Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Taikoo Wharf,4.2,Must-Eat List Top 10; Private Rooms; Birthday Set Meal Service
Lucky Sea Southeast Asian Restaurant (Cruise Home Port Branch),Guangzhou,96.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:30,Nansha Yacht Club,4.3,Must-Eat List Top 10; Online queueing
Banshan Yinyi Aesthetic Restaurant (Zhujiang New Town R&F Center Branch),Guangzhou,147.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:00,Haixin Bridge,4.4,Waiting area available; Birthday set meal service
Leiting No. 7 Restaurant (Tianhe North Road Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Aoka HOKA Light and Shadow Theater,2.4,Outdoor seating; Private rooms available
Guangyuan Restaurant (Guangyuan East Road Auxiliary Road),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,06:00,19:00,Guangzhou Ocean Museum,3.8,Must-Eat List Top 10; Waiting area available; Birthday set meal service
Siji Yue Fusion Cuisine Restaurant (Guanghui Tiandi Branch),Guangzhou,146.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,22:00,Sea Erosion Cave,4.3,Waiting area available; Birthday set meal service; Online queueing
Wenming Restaurant (Hang Seng Building Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Museum of the Nanyue Kings (Royal Tomb Exhibition Area),3.9,Birthday set meal service; Waiting area available; Online queueing
Yongyuan Bailie Jin Yan (Liyuan Xintiandi Branch),Guangzhou,122.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,22:00,Liugeng Hall,4.6,Birthday set meal service
Dian Dou De (Xinghuan Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,08:00,21:00,Aiqun Building,4.6,Private rooms available; Must-Eat List Top 10; Waiting area available; Online queueing
Sanbanzi Jar Pickled Fish (Huadu Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:30,21:30,Huaguoshan Park,4.3,Waiting Area Available
Guoshang Zheng - No. 1 Courtyard (Luogang Aoyuan Plaza Branch),Guangzhou,130.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,22:00,Baoneng Guangzhou International Sports and Performing Arts Center,4.5,Must-Eat List Top 10; Private rooms available; Waiting area available
Chuanwei Xiangguan Restaurant (Fuhao Garden Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:30,Shenzhen-Zhongshan Bridge,4.0,Outdoor seating; Waiting area available
Zhiweiyuan Restaurant (Longde Building Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Grandview Polar Ocean World,3.8,Waiting area available; Top 10 Must-Eat List; Outdoor seating
Weixin Huachu (Grandview Mall Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,22:41,Grandview Mall,3.9,Outdoor seating; Private rooms available; Waiting area available; Must-Eat List Top 10; Online queueing
Hewei Quick Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:30,21:00,Wanbo Center,4.2,Outdoor seating; Online queueing; Must-Eat List Top 10
Guangzhou Shangchuanyanyue Modern Cuisine,Guangzhou,152.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,22:30,Pearl River Night Cruise Dashatou Pier,4.3,Waiting Area Available
Jiu Ji Salmon (Zhucun Branch),Guangzhou,104.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,23:00,Guangzhou Jidong Park,4.0,Online queueing
Tao Tao Ju Restaurant (Panyu Teemall Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,21:30,Wanbo Center,4.5,Must-Eat List Top 10; Waiting Area Available
Almaty Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Liuhua Lake Park,3.9,Must-Eat List Top 10; Online queueing
Lijiang Restaurant (Guangzhou Navigation Building Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Pearl River Night Cruise,3.9,Private rooms available; Online queueing
Xinhexing Restaurant (Gongbei Port Branch),Guangzhou,118.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,02:00,Shenzhen-Zhongshan Bridge,4.5,Online queueing; Must-Eat List Top 10; Private rooms available
Red Castle Garden Theme Restaurant (Ersha Branch),Guangzhou,110.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,24:00,Guangzhou City Double-Decker Sightseeing Bus (Yuetao Bus),4.4,Must-Eat List Top 10; Waiting area available; Outdoor seating; Online queueing
Ronghe Yayuan - Chaoshan Private Cuisine (Jichang Road Branch),Guangzhou,200.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:30,22:30,Guangzhou Children's Park,4.4,Outdoor seating; Online queueing; Waiting area available
Courtyard Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Xiaopingyuan Leisure Science and Education Farm,3.9,Online queueing
Colin Mint Simple Joy Kitchen,Guangzhou,104.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:30,Huacheng Square,4.7,Outdoor Seating; Waiting Area Available; Online Queue Number; Must-Eat List Top 10
Yuexiu Park. Yundao Soup Garden Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,02:00,Yuexiu Park,4.0,Must-Eat List Top 10; Outdoor Seating; Birthday Set Meal Service
Jinzan Tea Restaurant (Liting Yaju Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:00,19:30,Renwei Ancestral Temple,4.1,Must-Eat List Top 10; Birthday set meal service; Waiting area available
Home Taste Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,06:30,22:30,Guifeng Village,4.1,Birthday set meal service
Hao Kouwei Restaurant (Changsha Apartment Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,22:00,Guifeng Village,4.1,Private rooms available; Online queueing
"Knife, Fork & Cup · American BBQ · Craft Beer · Music Bar (Chen Clan Academy Branch)",Guangzhou,111.0,Catering Services;Chinese Restaurant,11:00,21:00,Xiguan Grand Mansion Gate,4.6,Must-Eat List Top 10;Online Queue Number;Private Rooms Available;Birthday Set Meal Service
Gongzi Zhou Qu Wei Spicy Workshop (Leya Yuan Branch),Guangzhou,93.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:30,Zhujiang Park,4.7,Private rooms available; Waiting area available
Changzhou Island Tent Restaurant,Guangzhou,84.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Whampoa Military Academy Memorial Hall,4.1,Private Rooms; Waiting Area; Must-Eat List Top 10
Changzhou Renjia Farmhouse Cuisine (Jinzhou North Road Branch),Guangzhou,96.0,Catering Services; Chinese Restaurant; Chinese Restaurant|Commercial & Residential; Commercial & Residential Related; Commercial & Residential Related,11:00,21:00,Whampoa Military Academy Memorial Hall,4.1,Birthday set meal service; Must-Eat List Top 10
Kowloon Ice Room (Future City Branch),Guangzhou,46.0,Catering service; Chinese restaurant; Sichuan cuisine (Chuan cuisine),07:00,21:30,Former Site of the All-China Federation of Trade Unions,3.9,Online queueing; Outdoor seating; Birthday set meal service
Deep in the Alley Sichuan Theme Restaurant,Guangzhou,45.0,Catering service; Chinese restaurant; Sichuan cuisine (Chuan cuisine),10:30,04:00,Guangzhou Ocean Museum,4.7,Birthday Set Meal Service; Online Queue Number; Must-Eat List Top 10; Outdoor Seating
Hui Jiu Xiang Restaurant,Guangzhou,100.0,Catering services; Chinese restaurant; Anhui cuisine (Hui cuisine),08:00,20:00,Guifeng Village,3.8,Private rooms available; Online queueing
Cuiyuan (Taikoo Hui Branch),Guangzhou,234.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),09:00,22:00,Grandview Penguin Ice and Snow World,4.3,Online queueing
Bingsheng Pinwei (Zhujiang New Town Flagship Store),Guangzhou,240.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:00,22:00,Guangdong Museum,4.5,Private Rooms Available; Online Queueing; Must-Eat List Top 10; Birthday Set Meal Service
Tao Tao Ju Restaurant (Shi Fu Lu Branch),Guangzhou,51.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),08:00,21:00,Shangxiajiu Pedestrian Street,4.6,Online Queueing; Must-Eat List Top 10; Private Rooms Available; Outdoor Seating
Dian Dou De (Huiying Plaza Branch),Guangzhou,67.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),16:30,21:00,Xifang Dayuan Cultural Creative Park,4.8,Private rooms available; Online queueing
Wentong Ice Room (Beijing Road Branch),Guangzhou,57.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),10:30,22:30,Beijing Road Pedestrian Street,4.5,Outdoor seating; Waiting area available
Zhu Ge Coffee & Dining Room (Taikoo Hui Branch),Guangzhou,41.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),10:30,21:30,Grandview Polar Ocean World,4.5,Birthday set meal service
Dian Dou De (Lihong Building),Guangzhou,53.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),07:30,20:00,Guangzhou Railway Museum,4.7,Outdoor Seating; Birthday Set Meal Service; Private Rooms Available; Online Queueing; Waiting Area Available
Qiu Da 6 Zai Ji (Binjiang East Road Branch),Guangzhou,60.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:00,21:30,Sun Yat-sen University (South Campus),4.5,Waiting area available; Online queueing
Wentong Ice Room (Dongfang Baotai Branch),Guangzhou,50.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),10:00,21:30,Guangzhou Sports Culture Museum,4.6,Must-Eat List Top 10; Online queueing
Hakka Restaurant (Gaodi West Shoe Street Branch),Guangzhou,56.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:30,22:00,Aiqun Building,3.9,Private rooms available; Must-Eat List Top 10; Birthday set meal service; Waiting area available
Youmi Dining Room New Style Tea Restaurant,Guangzhou,23.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),10:00,21:00,Huaguoshan Park,4.3,Outdoor seating; Waiting area available
Fu Lin Restaurant (Huifu East Road),Guangzhou,79.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:00,22:00,"Sacred Heart Cathedral, Guangzhou",4.3,Must-Eat List Top 10; Private rooms available
Kowloon Ice Room (Grandview Mall Branch),Guangzhou,43.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),10:00,22:00,Grandview Mall,4.2,Private Rooms Available; Waiting Area Available; Must-Eat List Top 10; Outdoor Seating; Online Queueing
St. Paul's Cantonese Restaurant,Guangzhou,38.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),11:00,21:30,Lizhiwan Creek,4.2,Waiting area available; Outdoor seating
Oyster Song Chaoba Cantonese Restaurant,Guangzhou,52.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),11:00,00:30,Xiguan Grand Mansion Gate,4.4,Outdoor Seating; Waiting Area Available; Birthday Set Meal Service; Must-Eat List Top 10
Yu Ji Tea Restaurant (Qianshan Branch),Guangzhou,100.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),11:00,20:00,Shenzhen-Zhongshan Bridge,4.6,Online queueing
Wentong Ice Room (Tiyu West Road LAB Branch),Guangzhou,100.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),10:30,22:00,Metaverse Experience Hall (Guangzhou Branch),4.7,Private Rooms Available; Birthday Set Meal Service; Outdoor Seating; Online Queueing; Must-Eat List Top 10
Xi Yue Bo Ya Hui Private Kitchen,Guangzhou,178.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:00,21:30,Guangzhou Railway Museum,4.4,Private Rooms Available; Birthday Set Meal Service; Online Queueing; Waiting Area Available
Xu Bo Guan,Guangzhou,100.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:30,22:00,Guangdong Museum,4.6,Waiting Area Available; Private Rooms Available; Must-Eat List Top 10
Sofitel St. Regis Nanyue Palace Chinese Restaurant,Guangzhou,165.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:30,21:30,Aoka HOKA Light and Shadow Theater,4.3,Must-Eat List Top 10; Online queue number; Waiting area available; Outdoor seating
Lingnan Haiyan Lou (Binjiang East Main Store),Guangzhou,95.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),17:00,21:30,Guangzhou City Double-Decker Sightseeing Bus (Yuetao Bus),4.6,Private Rooms Available; Waiting Area Available; Outdoor Seating; Birthday Set Meal Service
Wentong Ice Room (Zhujiang New Town Branch),Guangzhou,100.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),10:30,22:00,Huacheng Square,4.5,Online Queueing; Private Rooms Available; Birthday Set Meal Service; Outdoor Seating
128 Fresh Simple Restaurant,Guangzhou,100.0,Catering service; Chinese restaurant; Guangdong cuisine (Cantonese cuisine),10:00,20:00,Lizhiwan Creek,4.2,Outdoor seating; Birthday set meal service; Private rooms; Online queueing
Gangli Restaurant (Teemall),Guangzhou,87.0,Catering Services; Chinese Restaurant; Cantonese Cuisine|Catering Services; Chinese Restaurant; Specialty/Local Flavor Restaurant,10:30,22:00,Metaverse Experience Hall (Guangzhou Branch),4.5,Outdoor Seating; Waiting Area Available; Private Rooms Available; Online Queueing; Must-Eat List Top 10
Green Tea Restaurant (Guangzhou Teemall Branch),Guangzhou,56.0,Catering services;Chinese restaurant;Jiangsu cuisine;Jiangsu Cuisine,11:00,22:30,Metaverse Experience Hall (Guangzhou Branch),4.6,Must-Eat List Top 10;Online Queue Number;Waiting Area
