poi_name,latitude,longitude,address,poi_type
Dafengmen Scenic Area,23.589925,113.822522,,attraction
Dafo Temple,23.128808,113.274392,,attraction
Dafu Mountain Forest Park,22.956343,113.315528,,attraction
Dajisha,23.087628,113.460518,,attraction
Dalang Taosha (Xiancun Road Branch),23.122250,113.334984,,attraction
Daling Village,22.990928,113.483917,,attraction
Dasao Huozi - Dried Abalone Braised Chicken Pot (Fengyuan Road Branch),23.117656,113.239570,,restaurant
Deep in the Alley Sichuan Theme Restaurant,23.150876,113.315280,,restaurant
Deli & Leisure Youle Restaurant Banquet Hall (Teemall Branch),23.131964,113.322664,,restaurant
Demashike Light Music Restaurant,23.145499,113.257968,,restaurant
Deng Shichang Memorial Hall,23.107473,113.266899,,attraction
Dexin Chaoshan Restaurant,23.201878,113.264035,,restaurant
Dian Dou De (Beijing Road No. 2 Branch),23.126571,113.268955,,restaurant
Dian Dou De (Huiying Plaza Branch),22.950529,113.360292,,restaurant
Dian Dou De (Jufu Lou),23.120454,113.265327,,restaurant
Dian Dou De (Lihong Building),23.117959,113.231403,,restaurant
Dian Dou De (Xinghuan Branch),23.113551,113.264038,,restaurant
Dishuiyan Forest Park,22.911546,113.321540,,attraction
Dongjiang Seafood Restaurant (Dongjiang Main Store),23.098357,113.315128,,restaurant
Dongshan Lake Park,23.122361,113.298465,,attraction
Dongshankou Arts District,23.129000,113.286000,,attraction
Easton Hotel Guangzhou,23.115536,113.374158,"No. 9, 11 Keyun Middle Road",hotel
Ecological Design Town,23.708562,113.727591,,attraction
Eighteen Arhats Mountain Forest Park,22.792373,113.412964,,attraction
Ersha Island,23.115879,113.311347,,attraction
European Style Street,22.929721,113.361494,,attraction
Fairfield by Marriott Guangzhou Huadu,23.398005,113.217646,"No. 21 Gongyi Road, Huadu District, Guangzhou",hotel
Fanzhanggui Self-Service Restaurant,23.059340,113.251835,,restaurant
Feimao Tea Restaurant (Huachenghui Central Zone Branch),23.119706,113.324315,,restaurant
Fengyunling Forest Park,23.547560,113.570755,,attraction
Five Rams Sculpture,23.144145,113.269391,,attraction
Flying Forest Adventure Park,23.229421,113.432816,,attraction
Forest Sea Water Park,23.573071,113.770945,,attraction
Former Residence of Hong Xiuquan,23.423379,113.179413,,attraction
Former Residence of Mr. Sun Yat-sen,23.092745,113.431038,,attraction
Former Site of the All-China Federation of Trade Unions,23.125529,113.284248,,attraction
Four Seasons Restaurant (South Station South Plaza Branch),31.794832,117.288801,,restaurant
Fu Lin Restaurant (Huifu East Road),23.120676,113.265291,,restaurant
Fumanlai Restaurant,23.331234,113.285392,,restaurant
Gangbai Cafe,23.124911,113.246189,,restaurant
Gangli Restaurant (Teemall),23.132300,113.322385,,restaurant
Gangtou Village Ancient Village,23.428573,113.401361,,attraction
Golden Coast Water Park,23.110856,113.299853,,attraction
Gongzi Zhou Qu Wei Spicy Workshop (Leya Yuan Branch),23.123356,113.360335,,restaurant
Grandview Cyber Sports Space,23.137860,113.333634,,attraction
Grandview Mall,23.137887,113.333548,,attraction
Grandview Mall Commercial Tourism Area,23.137807,113.333654,,attraction
Grandview Natural Science Museum,23.137456,113.334356,,attraction
Grandview Penguin Ice and Snow World,23.137465,113.333506,,attraction
Grandview Polar Ocean World,23.137758,113.332856,,attraction
Grandview Rainforest Ecological Botanical Garden,23.137906,113.333565,,attraction
Grandview Science Museum · Grandview Planetarium,23.138001,113.333422,,attraction
Green Island Western Restaurant · Birthday Theme Restaurant (Xindaxin Department Store Branch),23.125801,113.268465,,restaurant
Green Island Western Restaurant · Birthday Theme · Lawn Terrace Restaurant,23.142096,113.268446,,restaurant
Green Tea Restaurant (Guangzhou Teemall Branch),23.132316,113.322802,,restaurant
Guangdong Folk Art Museum,23.133185,113.252021,,attraction
Guangdong Foreign Affairs Museum,23.112228,113.254694,,attraction
Guangdong Herbal Tea Museum,23.185393,113.456405,,attraction
Guangdong Huadu Lake National Wetland Park,23.387857,113.237750,,attraction
Guangdong Museum,23.120537,113.332960,,attraction
Guangdong Museum of Art,23.114039,113.313698,,attraction
Guangdong Museum of Art (Ersha Island Branch),23.107950,113.307228,,attraction
Guangdong Museum of Traditional Chinese Medicine,23.065270,113.412110,,attraction
Guangdong Olympic Sports Center,23.146083,113.418268,,attraction
Guangdong Science Center,23.045368,113.369589,,attraction
Guangsheng Holding No. Dolphin Cruise Restaurant,23.111677,113.285971,,restaurant
Guangxiao Temple,23.135332,113.263078,,attraction
Guangyuan Restaurant (Guangyuan East Road Auxiliary Road),23.155920,113.309521,,restaurant
Guangzhou Ancient City Wall,23.142631,113.269913,,attraction
Guangzhou Art Museum,23.149166,113.287070,,attraction
Guangzhou Art Museum (New Building),23.106533,113.332614,,attraction
Guangzhou Art Museum (New Hall),23.106824,113.332724,,attraction
Guangzhou Asian Games City Comprehensive Gymnasium,22.947651,113.488521,,attraction
Guangzhou Baiyun International Convention Center,23.194991,113.286075,,attraction
Guangzhou Baiyun Lake Park,23.234257,113.243843,,attraction
Guangzhou Celebrity Wax Museum,23.111322,113.331595,,attraction
Guangzhou Children's Park,23.190304,113.278107,,attraction
Guangzhou Chimelong Resort,23.006399,113.330527,,attraction
Guangzhou City City God Temple,23.132731,113.277500,,attraction
Guangzhou City Double-Decker Sightseeing Bus,23.121065,113.274234,,attraction
Guangzhou City Double-Decker Sightseeing Bus (Yuetao Bus),23.113765,113.316040,,attraction
Guangzhou Cultural Center (New Hall),23.081787,113.335190,,attraction
Guangzhou Cultural Park,23.115633,113.257337,,attraction
Guangzhou Erlongshan Garden,23.359062,113.736507,,attraction
Guangzhou Folklore Museum,23.392541,113.198186,,attraction
Guangzhou Gymnasium,23.187879,113.284057,,attraction
Guangzhou Haopu Art Museum,23.174100,113.464000,,attraction
Guangzhou Health Ark Knight Story Hotel (Dongsha Metro Station Branch),23.059384,113.260843,"No. 16 Dongsha Avenue, Liwan District, Guangzhou",hotel
Guangzhou Huangpu Jincheng Hotel,23.196334,113.561527,"No. 1 Hualun 1st Road, Yonghe Avenue, near Guangzhou-Shenzhen Expressway",hotel
Guangzhou Incredible Sports Block,23.125892,113.276460,,attraction
Guangzhou International Finance Center - West Tower,23.123486,113.329659,,attraction
Guangzhou Jidong Park,23.109833,113.426450,,attraction
Guangzhou Junming Happy World,23.195372,113.599518,,attraction
Guangzhou Library,23.122229,113.331974,,attraction
Guangzhou Lizhiwan Cruise,23.126744,113.240948,,attraction
Guangzhou Lu Xun Memorial Hall,23.130224,113.283364,,attraction
Guangzhou Luhu Park,23.154881,113.289439,,attraction
Guangzhou Maritime Museum,23.085411,113.508844,,attraction
Guangzhou Metro Museum,23.101949,113.389465,,attraction
Guangzhou Modern History Museum,23.134641,113.289774,,attraction
Guangzhou Museum,23.143971,113.272110,,attraction
Guangzhou Nansha Grand Hotel,22.766739,113.613836,"No. 1 South 2nd Road, Shangmao Avenue, Nansha Seaside New City (next to Nansha Tianhou Palace), near Gangqian Avenue",hotel
Guangzhou No. 8 Art Threshing Floor,23.033539,113.438048,,attraction
Guangzhou Ocean Museum,23.149705,113.311261,,attraction
Guangzhou Orchid Park,23.149913,113.266761,,attraction
Guangzhou Overseas Chinese Museum,23.119256,113.271033,,attraction
Guangzhou Panyu Helicopter Sightseeing Area,22.971341,113.521810,,attraction
Guangzhou Railway Museum,23.117024,113.238448,,attraction
Guangzhou Sculpture Park,23.156454,113.276730,,attraction
Guangzhou Sega Urban Entertainment Center,23.195674,113.600847,,attraction
Guangzhou Shangchuanyanyue Modern Cuisine,23.122160,113.293018,,restaurant
Guangzhou Snow City,23.432566,113.237730,,attraction
Guangzhou South,22.988773,113.269815,Guangzhou subway station,subway_station
Guangzhou Sports Culture Museum,23.144373,113.328775,,attraction
Guangzhou Sunac Cultural Tourism City,23.435167,113.241125,,attraction
Guangzhou Sunac Grand Circus - Fantasy Secret Realm,23.435470,113.246764,,attraction
Guangzhou Sunac Land,23.435471,113.246764,,attraction
Guangzhou Sunac Sports World,23.431966,113.240339,,attraction
Guangzhou Suspended Glass Art Museum (Tianhe Flagship Store),23.142293,113.330878,,attraction
Guangzhou Tunnel Museum,22.764352,113.558450,,attraction
Guangzhou Unicorn Starry Sky Art Museum,23.128956,113.273693,,attraction
Guangzhou University Town Sports Center,23.060900,113.397292,,attraction
Guangzhou Uprising Martyrs' Cemetery,23.135765,113.292235,,attraction
Guangzhou Uprising Memorial Hall,23.130345,113.270873,,attraction
Guangzhou Urban Planning Exhibition Center,23.197644,113.284064,,attraction
Guangzhou Valley International Tourism Resort,23.478783,113.597056,,attraction
Guangzhou Water Bus,23.112249,113.246822,,attraction
Guangzhou Xiangxue International Hotel Apartment (Baoneng Performing Arts Center Branch),23.178158,113.496800,"No. 98 Xiangxue 8th Road, Science City, Development Zone (near Luogang/Huangpu District New Administrative Center).",hotel
Guangzhou Xiangyun Skydiving Club (Zengcheng Base),23.281304,113.822630,,attraction
Guangzhou Ye'en Animal Park,23.142399,113.331733,,attraction
Guangzhou Yi · Airport Cultural Tourism Town,23.360714,113.299584,,attraction
Guangzhou Youth Science and Technology Museum,23.148823,113.278079,,attraction
Guangzhou Zoo,23.146478,113.311833,,attraction
Guangzhou chi K11 Art Space,23.123892,113.332952,,attraction
Guanlong Island,22.909307,113.490148,,attraction
Guifeng Village,23.814063,114.013896,,attraction
Guigang Republic of China Architectural Complex,23.127913,113.300049,,attraction
Gulique Russian Western Restaurant,23.132148,113.327017,,restaurant
Guoshang Zheng - No. 1 Courtyard (Luogang Aoyuan Plaza Branch),23.173820,113.497087,,restaurant
Haibang Water Town,22.948095,113.472611,,attraction
Haichuang Temple,23.111474,113.265451,,attraction
Haigou Island,22.979410,113.531663,,attraction
Haiguanglou Cantonese Restaurant,23.116348,113.264768,,restaurant
Haixin Bridge,23.113958,113.325485,,attraction
Haixinsha Asian Games Park,23.117202,113.331179,,attraction
Haixinsha Asian Games Park - Haixinsha Square,23.119151,113.327574,,attraction
Haixinsha No. 2 Restaurant & Banquet Hall,23.111725,113.327939,,restaurant
Haizhu Bridge,23.117869,113.273947,,attraction
Haizhu Lake Park,23.078539,113.330994,,attraction
Haizhu National Wetland Park,23.072321,113.343072,,attraction
Hakka Restaurant (Gaodi West Shoe Street Branch),23.118181,113.263428,,restaurant
Halal · Dawazi Xinjiang Big Plate Chicken · Pilaf · Mixed Noodles · BBQ,23.007258,113.348510,,restaurant
Haliman Restaurant,23.141023,113.270484,,restaurant
Hampton by Hilton Guangzhou Railway Station,23.150488,113.262023,"No. 1389 North Jiefang Road, Baiyun District",hotel
Hampton by Hilton Guangzhou Renhe Baiyun Airport,23.331582,113.288792,"No. 1318 Fanghua Highway, Baiyun District, Guangzhou",hotel
Hampton by Hilton Guangzhou Tianhe Sports Center,23.141132,113.315759,"Zhengsheng Building, No. 5-9 Tianhe North Road",hotel
Hampton by Hilton Guangzhou Zhujiang New Town,23.126354,113.342619,"No. 495 West Huangpu Avenue, Tianhe District, Guangzhou, near Shipai East Road",hotel
Hanjiang House,23.034802,113.371985,,attraction
Hanting Hotel Guangzhou Dongshankou Metro Station,23.122330,113.291612,"No. 50 Donghua North Road, Yuexiu District, Guangzhou",hotel
Hanting Hotel Guangzhou Panyu Chimelong Wanbo Center,23.002712,113.345855,"Part of the 3rd floor and all of floors 4-6, No. 181 North Panyu Avenue",hotel
Hanting Hotel Guangzhou Panyu Chimelong Zhongcun,22.975231,113.308357,"No. 62 Zhongwei Road, Zhongcun Street, Panyu District, Guangzhou",hotel
Hanting Hotel Guangzhou Tianhe Zhucun Metro Station,23.119457,113.417960,"Floors 5-6, Junyi Building, No. 1025 Middle Zhongshan Avenue, Tianhe District, Guangzhou",hotel
Hanting Hotel Guangzhou Yuexiu Park,23.145542,113.258515,"Building 6, No. 696-698 North Renmin Road (Line 2 Guangzhou Railway Station Metro Station - Municipal Passage Exit 62; Line 11 Liuhua Metro Station Exit D)",hotel
Hao Kouwei Restaurant (Changsha Apartment Branch),28.190254,113.012442,,restaurant
Happy Ice Room (Guangzhou Tianhe Link Plaza Branch),23.124285,113.343945,,restaurant
Happy Little Sheep Hotpot Restaurant (Liuhua Branch),23.141243,113.258321,,restaurant
Harry Potter (Haizhu Xinduhui Store),23.079110,113.298414,,attraction
Hewei Quick Restaurant,22.996154,113.365394,,restaurant
Hilton Garden Inn Guangzhou Tianhe Dinglong,23.154859,113.314563,"No. 63 North Guangzhou Avenue, Tianhe District, Guangzhou, Guangdong Province",hotel
Home Inn - Guangzhou Shangxiajiu Ruyifang Metro Station,23.117447,113.231821,"No. 144 Huangsha Dadao, Liwan District, Guangzhou",hotel
Home Inn NEO - Guangzhou Sun Yat-sen University Lujiang Metro Station,23.095946,113.312352,"Yujing Yayuan, Next to CR Vanguard (Kecun Store), Chigang Street, Haizhu District, Guangzhou, Guangdong Province",hotel
Home Inn Neo - Guangzhou Tianhe Bus Station Metro Station,23.173725,113.340815,"Building 15, No. 310 Yuangang Road, Tianhe District",hotel
Home Taste Restaurant,28.153587,113.059848,,restaurant
Hometown Folk Culture Village,23.489996,113.070200,,attraction
Huacheng Square,23.125752,113.331127,,attraction
Huachengli · Moshang Huakai,23.138076,113.269909,,restaurant
Huadu Fragrant World,23.467507,113.267391,,attraction
Huadu Wetland Park,23.394674,113.262518,,attraction
Huaguoshan Park,23.395248,113.225884,,attraction
Huaisheng Mosque,23.129071,113.265427,,attraction
Hualin Zen Temple,23.122428,113.253216,,attraction
Huanghuagang 72 Martyrs Cemetery,23.146964,113.300857,,attraction
Huangpu Ancient Port,23.095461,113.396026,,attraction
Huangpu Military Theme Park,23.078618,113.411678,,attraction
Huangpu Park,23.104145,113.458325,,attraction
Huangpu Village,23.100133,113.404609,,attraction
Huangsha Pier,23.112267,113.246886,,attraction
Huangshanlu Forest Park,22.783267,113.577166,,attraction
Huashan Town,23.446089,113.291138,,attraction
Huayi Tea Restaurant,23.074308,113.425782,,restaurant
Hui Jiu Xiang Restaurant,31.883734,117.318492,,restaurant
Hui Jiuxiang Restaurant (Hefei South Railway Station Branch),31.800640,117.289706,,restaurant
Hulu Mountain Forest Park,23.187005,113.396663,,attraction
Humen Bridge,22.792189,113.614387,,attraction
InterContinental Guangzhou,23.103844,113.384222,No. 828 Yuejiang Middle Road,hotel
Ji Hotel Guangzhou Canton Tower,23.100700,113.313000,"No. 10 Jinju Road, Haizhu District, Guangzhou",hotel
Ji Hotel Guangzhou Panyu Shiqiao Metro Station,22.955410,113.360497,"No. 471 Donghuan Road, Shiqiao Street, Panyu District, Guangzhou, China",hotel
Ji Hotel Guangzhou South Railway Station,22.985240,113.280535,"Floors 3-21 and part of the 1st floor, No. 251 Shuangyong Road, Shibei Street",hotel
Ji Hotel Guangzhou Ximenkou,23.125200,113.252000,"No. 85-100 Zhongshan 7th Road, Liwan District, Guangzhou",hotel
Ji Hotel Guangzhou Zhujiang New Town,23.114700,113.313000,"No. 18 Mingyue 1st Road, Middle Guangzhou Avenue, Yuexiu District, Guangzhou",hotel
Ji Mu BBQ Music Restaurant (Yanjiang Road Branch),23.114006,113.283510,,restaurant
Jiangnanjia Chinese Restaurant,23.128594,113.246464,,restaurant
Jianji Noodle Shop (Yi Fu Noodles),23.118214,113.250498,,restaurant
Jin Da Yang Ji Seafood Restaurant (Shangbao Garden Branch),22.267749,113.516897,,restaurant
Jinjiang Inn (Guangzhou Haizhu Jiangtai Road Metro Station),23.079970,113.278680,"No. 245 Jiangyan Road, Haizhu District, Guangzhou, Guangdong Province",hotel
Jinya Garden Restaurant (Ersha Island Branch),23.111082,113.309855,,restaurant
Jinzan Tea Restaurant (Liting Yaju Branch),23.133863,113.242722,,restaurant
Jiu Ji Salmon (Zhucun Branch),23.118469,113.418351,,restaurant
Jiuhe Lan,23.103217,113.383338,,restaurant
Jiulong Lake Ecological Park,23.477240,113.425418,,attraction
Jiulong Lake Resort,23.480803,113.419942,,attraction
Junmanfu Restaurant (Yongshengyuan Branch),23.225475,113.301675,,restaurant
Kaiser Xinjiang Restaurant,23.134685,113.261613,,restaurant
Kaloka Space Forest Family Park,23.434425,113.247120,,attraction
Kao Shang Gong Korean Buffet (Food City Branch),23.376713,113.207555,,restaurant
Katyusha Russian Western Restaurant (Guangzhou Branch),23.140583,113.315580,,restaurant
Kecun,23.101735,113.325925,,attraction
Keming Cafe (Guangzhou Chengyihui · Liuhua Branch),23.141229,113.260475,,restaurant
Keming Ice Room (Huanyu City Branch),22.233733,113.525141,,restaurant
Keming Ice Room (Panyu Minjie Plaza Branch),23.002473,113.346599,,restaurant
Khushboo Restaurant,23.149832,113.262173,,restaurant
"Knife, Fork & Cup · American BBQ · Craft Beer · Music Bar (Chen Clan Academy Branch)",23.124866,113.245630,,restaurant
Koala Plaza,23.006163,113.321381,,attraction
Kowloon Ice Room (Future City Branch),23.127187,113.283287,,restaurant
Kowloon Ice Room (Grandview Mall Branch),23.132125,113.327449,,restaurant
Kowloon Ice Room (Guangzhou Yingxiong Square Branch),23.125920,113.284598,,restaurant
LPS Local Park,23.125749,113.303105,,attraction
Langli Restaurant (Tairan Lou Branch),23.124856,113.359089,,restaurant
Langtou Village,23.345045,113.094007,,attraction
Lao Xiang Cun · Hunan Local Cuisine (Haizhu Yanhui Plaza Branch),23.082032,113.277770,,restaurant
Latin Restaurant (Grandview Mall Branch),23.132942,113.326957,,restaurant
Lavande Hotel Guangzhou Financial City Tianhe Park Metro Station,23.122901,113.361862,"Dongjing Garden, No. 1 Yuancun 2nd Cross Road, Huangpu Avenue (diagonally opposite South Gate of Tianhe Park)",hotel
Leiting No. 7 Restaurant (Tianhe North Road Branch),23.140553,113.315546,,restaurant
Liangcheng Shengyan Restaurant,23.095602,113.438176,,restaurant
Lide Noodle House,23.116421,113.240861,,restaurant
Liede Bridge,23.117739,113.340408,,attraction
Lihu Park,23.247055,113.818367,,attraction
Lihua Ice Room,23.397792,113.215302,,restaurant
Lijiang Restaurant (Guangzhou Navigation Building Branch),23.113268,113.283479,,restaurant
Lilin Eatery,23.132692,113.246343,,restaurant
Lin Zexu Memorial Park,23.118215,113.293276,,attraction
Lingnan Finance Museum,23.130111,113.273057,,attraction
Lingnan Haiyan Lou (Binjiang East Main Store),23.104565,113.314809,,restaurant
Lingnan Impression Park,23.043105,113.412924,,attraction
Lingshan Island Tip,22.778073,113.523847,,attraction
Liugeng Hall,22.910211,113.340343,,attraction
Liuhua Lake Park,23.143355,113.257705,,attraction
Liurong Temple,23.134141,113.266451,,attraction
Liuxi River,23.309788,113.288276,,attraction
Liuxi River National Forest Park,23.756617,113.789932,,attraction
Liwan Lake Park,23.126903,113.239395,,attraction
Liwan Museum,23.125681,113.242686,,attraction
Lizhiwan Creek,23.125161,113.241536,,attraction
Longjin West Xiguan Mansion Area,23.125071,113.242277,,attraction
Lotus Hill Tourism Area,22.993236,113.509893,,attraction
Lucky Sea Southeast Asian Restaurant (Cruise Home Port Branch),22.772071,113.609848,,restaurant
Luodong Artisan Town,23.502871,113.624054,,attraction
Luogang Xiangxue Park,23.189269,113.533589,,attraction
Ma Ji Tea Stall (Link REIT Zhujiang New Town Branch),23.124035,113.344353,,restaurant
Ma'anshan Park,23.400687,113.244103,,attraction
Madame Tussauds (Canton Tower),23.112175,113.331955,,attraction
Maker Park,23.071633,113.297841,,attraction
Maldives Happy Island,23.136176,113.683563,,attraction
Maling Flower Viewing Botanical Garden,23.480920,113.115289,,attraction
Man Wah Cafe (Guangzhou Dongfang Baotai Branch),23.149505,113.325236,,restaurant
Man Wah Cafe (Teemall Branch),23.131845,113.322562,,restaurant
Mangu Garden,23.408068,113.164816,,attraction
MansionC Restaurant,23.127180,113.285253,,restaurant
Maofeng Mountain Scenic Area,23.308856,113.463457,,attraction
Marriott Hotel Guangzhou Grandview Mall,23.132645,113.326454,"No. 228 Tianhe Road, Tianhe District, Guangzhou",hotel
Meat Times Restaurant,23.141163,113.270362,,restaurant
Meihao Lizhi Hotel (Guangzhou Huadu Cultural Tourism City Shiling Branch),23.463106,113.166543,"No. 13 South Yangguang Road, Shiling Town, Huadu District, Guangzhou",hotel
Meihua Aerospace Science Popularization Base,23.422687,113.254540,,attraction
Memorial Hall of the Site of the Third National Congress of the Communist Party of China,23.125053,113.302578,,attraction
Metaverse Experience Hall (Guangzhou Branch),23.139917,113.328022,,attraction
Miaqian Night Market,23.129290,113.300837,,attraction
Minghui Restaurant,23.093496,113.314336,,restaurant
Mingmen Shengyan Art Seafood Presentation (Zhujiang New Town Branch),23.114306,113.328962,,restaurant
Moxing Ridge,23.188995,113.307707,,attraction
Mr. Steak · Thick-Cut Snowflake Steak Western Restaurant (Grandview Mall Branch),23.131541,113.326537,,restaurant
Mubujiji Smelted Mandarin Fish · Anhui Intangible Cultural Heritage Dish (Train Station Xindi Branch),31.881246,117.318559,,restaurant
Muke Huafang (Beijing Road Branch),23.120698,113.268698,,restaurant
Museum of the Nanyue Kings (Royal Palace Exhibition Area),23.133100,113.276352,,attraction
Museum of the Nanyue Kings (Royal Tomb Exhibition Area),23.143943,113.267507,,attraction
Music bistro,23.127911,113.343284,,restaurant
Mutongji Smelt Fish & Anhui Cuisine (Baima Old Store),31.884821,117.310082,,restaurant
Nanhai Fishing Village · Ersha No.1,23.108066,113.302397,,restaurant
Nanhai God Temple,23.087583,113.504607,,attraction
Nanhan Imperial Tombs Museum,23.053533,113.390497,,attraction
Nanping Jingxiu Town,23.556879,113.726403,,attraction
Nanping Village,23.554016,113.723738,,attraction
Nansha Coastal Swimming Pool,22.766857,113.626410,,attraction
Nansha Coastal Wetland Scenic Area,22.755220,113.624057,,attraction
Nansha Dajiao Mountain Coastal Park,22.756166,113.625676,,attraction
Nansha Happy World,22.905648,113.403675,,attraction
Nansha Huigu Super Embankment,22.747254,113.612978,,attraction
Nansha Shijiu Yong,22.605890,113.651630,,attraction
Nansha Tianhou Palace,22.762606,113.625188,,attraction
Nansha Water Bird World Ecological Park,22.619486,113.643696,,attraction
Nansha Wetland,22.617149,113.654605,,attraction
Nansha Yacht Club,22.783418,113.608285,,attraction
Nanyue Garden,22.904203,113.295986,,attraction
Nanyue Kingdom Palace Ruins,23.133223,113.276322,,attraction
Nanyue Kingdom Water Gate Ruins (Guangming Plaza),23.128582,113.273819,,attraction
Neobio Family Center (Yuehui City Branch),23.155555,113.249688,,attraction
New Hao Mei International Hotel (Guangzhou Shiqiao Metro Station Zuanhui Plaza Branch),22.941250,113.366452,"No. 118 Shiqiao North Road, Panyu District, Guangzhou, China",hotel
Night Shanghai (Fashion Tianhe Commercial Plaza Branch),23.139698,113.331829,,attraction
OMG Internet Celebrity Street,23.045464,113.323994,,attraction
OST Restaurant (Guangzhou Chow Tai Fook Finance Center Branch),23.117788,113.326131,,restaurant
